 date     Mom   
192701   0.23
192702  -1.53
192703   3.22
192704   4.28
192705   3.33
192706   0.64
192707   3.99
192708   1.32
192709   1.63
192710  -1.34
192711  -0.48
192712   3.09
192801  -0.23
192802  -1.35
192803   4.99
192804  -4.04
192805   1.78
192806   2.03
192807   2.42
192808   3.92
192809   4.03
192810   4.38
192811   1.34
192812   1.59
192901   2.16
192902   3.16
192903  -0.61
192904   2.05
192905  -2.60
192906   9.28
192907   3.41
192908   5.71
192909   1.57
192910   4.05
192911  -0.91
192912   3.90
193001  -4.58
193002   0.98
193003  -4.26
193004   3.44
193005   0.11
193006   6.39
193007  -2.69
193008   3.60
193009  11.74
193010   6.95
193011  -1.19
193012  13.58
193101 -10.03
193102 -14.49
193103   9.42
193104  11.46
193105   9.23
193106 -17.44
193107   8.01
193108  -3.82
193109   9.93
193110   2.92
193111   7.68
193112  14.68
193201 -10.47
193202   2.12
193203  10.75
193204   7.08
193205  13.05
193206   3.80
193207 -44.84
193208 -50.63
193209   1.49
193210   4.31
193211  -2.85
193212   5.00
193301  -0.68
193302   4.48
193303   3.01
193304 -15.48
193305  -5.45
193306   3.12
193307   0.53
193308   7.23
193309   1.69
193310  -2.46
193311   6.01
193312   3.25
193401  -3.48
193402  -0.67
193403  -1.07
193404  -5.16
193405  -3.34
193406  -0.25
193407   8.86
193408   2.98
193409  -0.07
193410   6.58
193411   4.97
193412   4.98
193501   3.40
193502  13.57
193503   2.29
193504  -4.79
193505  -3.92
193506   3.15
193507  -4.67
193508  -8.35
193509   8.66
193510   2.28
193511  -5.23
193512   3.58
193601  -4.05
193602   2.61
193603   1.40
193604  -7.75
193605   2.82
193606   0.55
193607   3.36
193608   0.57
193609   0.87
193610   1.41
193611   2.11
193612   2.18
193701  -1.51
193702   3.41
193703   2.39
193704  -3.50
193705   0.56
193706   1.28
193707  -0.34
193708  -1.55
193709  -6.88
193710  -1.27
193711   0.20
193712   4.00
193801  -0.82
193802  -3.00
193803  16.06
193804  -9.06
193805   6.71
193806 -24.25
193807  -5.27
193808   3.60
193809   2.35
193810  -7.73
193811   3.48
193812   1.77
193901  -3.07
193902   3.30
193903  -1.47
193904   2.97
193905   3.96
193906   1.51
193907  -0.36
193908   5.64
193909 -30.56
193910   6.56
193911  -0.06
193912   5.14
194001   1.56
194002   1.74
194003  -0.17
194004   3.34
194005   3.00
194006  -2.37
194007   0.59
194008  -1.87
194009  -0.30
194010  -5.96
194011   1.57
194012   3.31
194101  -4.83
194102   0.83
194103   2.10
194104   3.00
194105   2.74
194106  -0.68
194107  -2.43
194108   0.27
194109  -1.64
194110   5.34
194111   3.92
194112   0.34
194201  -3.72
194202  -0.85
194203  -0.59
194204  -0.55
194205  -4.82
194206  -1.52
194207   0.86
194208  -0.13
194209  -0.09
194210  -3.64
194211  -1.08
194212   3.33
194301  -0.35
194302  -1.89
194303   4.49
194304   6.47
194305   5.30
194306  -1.43
194307  -4.65
194308   0.52
194309   1.93
194310  -0.12
194311  -4.77
194312   6.20
194401   0.67
194402   0.39
194403   2.80
194404   0.48
194405   2.03
194406  -5.12
194407   0.12
194408   4.62
194409  -1.39
194410  -1.33
194411   1.47
194412   3.26
194501   0.05
194502   2.99
194503  -3.05
194504   4.24
194505   0.03
194506   4.02
194507  -2.42
194508  -1.93
194509   1.35
194510   0.08
194511   4.24
194512   1.42
194601   4.07
194602  -1.80
194603   2.46
194604   2.57
194605  -0.59
194606  -2.34
194607  -0.09
194608  -0.15
194609   1.11
194610   0.69
194611   0.08
194612   0.25
194701  -6.17
194702  -0.57
194703   4.06
194704   4.82
194705   3.31
194706  -1.79
194707  -3.16
194708   3.51
194709  -0.06
194710   1.36
194711   4.37
194712   3.57
194801  -4.17
194802   1.52
194803  -0.17
194804   4.07
194805   2.38
194806   3.99
194807  -1.54
194808   0.25
194809  -1.26
194810   2.76
194811   0.81
194812   4.63
194901  -2.91
194902  -0.47
194903  -0.85
194904   3.05
194905   3.17
194906  -1.19
194907  -1.54
194908   1.67
194909  -1.46
194910  -0.06
194911   1.29
194912  -0.77
195001  -2.30
195002   1.35
195003   1.53
195004   0.39
195005   0.37
195006  -1.68
195007  -0.43
195008   3.21
195009  -0.07
195010   1.42
195011   3.67
195012   4.90
195101   2.02
195102  -1.67
195103  -2.99
195104   6.03
195105  -0.88
195106  -2.42
195107   7.29
195108   0.89
195109   0.49
195110  -0.33
195111   0.67
195112   1.72
195201   1.40
195202  -0.76
195203   1.62
195204  -2.10
195205   0.50
195206   1.51
195207  -0.51
195208   0.31
195209   1.76
195210   2.75
195211   0.47
195212   1.52
195301   0.70
195302   0.87
195303   0.10
195304   1.86
195305   0.94
195306  -0.02
195307  -0.25
195308   2.19
195309   2.88
195310   0.29
195311   1.90
195312   5.19
195401  -5.75
195402   1.02
195403   2.15
195404   4.95
195405  -1.95
195406   3.47
195407   0.66
195408  -0.79
195409   1.71
195410   0.96
195411   1.90
195412  -1.35
195501   1.33
195502   1.10
195503   1.05
195504  -0.09
195505   0.59
195506   4.69
195507  -1.24
195508   1.78
195509   1.79
195510  -0.51
195511   2.71
195512  -1.29
195601  -1.52
195602   1.99
195603   3.67
195604   2.52
195605  -1.69
