date             return
20000103        0.088754
20000104       -0.084310
20000105        0.014634
20000106       -0.086538
20000107        0.047368
20000110       -0.017588
20000111       -0.051151
20000112       -0.059973
20000113        0.109677
20000114        0.038114
20000118        0.034848
20000119        0.025256
20000120        0.065103
20000121       -0.019273
20000124       -0.045480
20000125        0.056471
20000126       -0.018374
20000127       -0.001702
20000128       -0.076136
20000131        0.020910
20000201       -0.033735
20000202       -0.014339
20000203        0.045541
20000204        0.045372
20000207        0.056134
20000208        0.007123
20000209       -0.019587
20000210        0.007769
20000211       -0.041850
20000214        0.064943
20000215        0.027523
20000216       -0.040966
20000217        0.006572
20000218       -0.031556
20000222        0.023034
20000223        0.021417
20000224       -0.009005
20000225       -0.041910
20000228        0.026048
20000229        0.012141
20000301        0.136859
20000302       -0.063789
20000303        0.049180
20000306       -0.018066
20000307       -0.022377
20000308       -0.007121
20000309        0.002049
20000310        0.028630
20000313       -0.035288
20000314       -0.058217
20000315        0.017505
20000316        0.045699
20000317        0.028278
20000320       -0.016000
20000321        0.097053
20000322        0.068550
20000323       -0.019939
20000324       -0.018576
20000327        0.006309
20000328       -0.003135
20000329       -0.022911
20000330       -0.074943
20000331        0.080020
20000403       -0.018408
20000404       -0.045007
20000405        0.024055
20000406       -0.039789
20000407        0.052421
20000410       -0.051233
20000411       -0.044500
20000412       -0.085296
20000413        0.041762
20000414       -0.017024
20000417        0.107263
20000418        0.024218
20000419       -0.045320
20000420       -0.018576
20000424        0.013670
20000425        0.064834
20000426       -0.054554
20000427        0.044822
20000428       -0.021203
20000501        0.002015
20000502       -0.051785
20000503       -0.023860
20000504       -0.038023
20000505        0.022021
20000508       -0.026519
20000509       -0.042565
20000510       -0.058091
20000511        0.035242
20000512        0.046809
20000515       -0.061556
20000516        0.046411
20000517       -0.040804
20000518       -0.006165
20000519       -0.066998
20000522       -0.043218
20000523       -0.045865
20000524        0.021850
20000525       -0.004811
20000526       -0.010206
20000530        0.013748
20000531       -0.040685
20000601        0.061012
20000602        0.038569
20000605       -0.013504
20000606        0.017112
20000607        0.039704
20000608       -0.018123
20000609        0.009888
