date             aapl          sp
20000103       0.088754     -0.009549
20000104      -0.084310     -0.038345
20000105       0.014634      0.001922
20000106      -0.086538      0.000956
20000107       0.047368      0.027090
20000110      -0.017588      0.011190
20000111      -0.051151     -0.013063
20000112      -0.059973     -0.004386
20000113       0.109677      0.012170
20000114       0.038114      0.010671
20000118       0.034848     -0.006832
20000119       0.025256      0.000522
20000120       0.065103     -0.007095
20000121      -0.019273     -0.002912
20000124      -0.045480     -0.027634
20000125       0.056471      0.006065
20000126      -0.018374     -0.004213
20000127      -0.001702     -0.003938
20000128      -0.076136     -0.027457
20000131       0.020910      0.025218
20000201      -0.033735      0.010628
20000202      -0.014339     -0.000114
20000203       0.045541      0.011248
20000204       0.045372     -0.000421
20000207       0.056134     -0.000091
20000208       0.007123      0.012273
20000209      -0.019587     -0.020822
20000210       0.007769      0.003634
20000211      -0.041850     -0.020969
20000214       0.064943      0.002033
20000215       0.027523      0.008713
20000216      -0.040966     -0.010256
20000217       0.006572      0.000425
20000218      -0.031556     -0.030376
20000222       0.023034      0.004517
20000223       0.021417      0.006301
20000224      -0.009005     -0.005336
20000225      -0.041910     -0.014829
20000228       0.026048      0.011017
20000229       0.012141      0.013627
20000301       0.136859      0.009346
20000302      -0.063789      0.001863
20000303       0.049180      0.019837
20000306      -0.018066     -0.012695
20000307      -0.022377     -0.025631
20000308      -0.007121      0.008173
20000309       0.002049      0.025602
20000310       0.028630     -0.004723
20000313      -0.035288     -0.008207
20000314      -0.058217     -0.017685
20000315       0.017505      0.024280
20000316       0.045699      0.047639
20000317       0.028278      0.004114
20000320      -0.016000     -0.005353
20000321       0.097053      0.025566
20000322       0.068550      0.004532
20000323      -0.019939      0.017799
20000324      -0.018576      0.000072
20000327       0.006309     -0.002357
20000328      -0.003135     -0.010585
20000329      -0.022911      0.000524
20000330      -0.074943     -0.013656
20000331       0.080020      0.007164
20000403      -0.018408      0.004931
20000404      -0.045007     -0.007464
20000405       0.024055     -0.004924
20000406      -0.039789      0.009392
20000407       0.052421      0.009998
20000410      -0.051233     -0.007841
20000411      -0.044500     -0.002572
20000412      -0.085296     -0.022271
20000413       0.041762     -0.018171
20000414      -0.017024     -0.058278
20000417       0.107263      0.033084
20000418       0.024218      0.028663
20000419      -0.045320     -0.009808
20000420      -0.018576      0.004953
20000424       0.013670     -0.003262
20000425       0.064834      0.033276
20000426      -0.054554     -0.011134
20000427       0.044822      0.002690
