Year Mon   Starts
1992 01    67.9
1992 02    72.6
1992 03    97.7
1992 04   103.9
1992 05    97.1
1992 06   109.2
1992 07   101.1
1992 08    93.0
1992 09    99.2
1992 10    97.1
1992 11    76.4
1992 12    79.5
1993 01    67.1
1993 02    73.1
1993 03    99.1
1993 04   107.3
1993 05   101.7
1993 06   117.8
1993 07   104.5
1993 08   111.9
1993 09   111.5
1993 10   107.0
1993 11    98.1
1993 12   100.1
1994 01    80.7
1994 02    81.7
1994 03   126.4
1994 04   127.6
1994 05   131.4
1994 06   138.8
1994 07   114.8
1994 08   131.5
1994 09   127.2
1994 10   117.0
1994 11   100.5
1994 12    94.2
1995 01    78.0
1995 02    80.4
1995 03   111.5
1995 04   109.7
1995 05   122.8
1995 06   129.3
1995 07   115.6
1995 08   133.5
1995 09   124.1
1995 10   122.2
1995 11   107.8
1995 12    97.4
1996 01    88.3
1996 02    96.0
1996 03   120.4
1996 04   140.1
1996 05   140.5
1996 06   131.4
1996 07   135.1
1996 08   129.1
1996 09   121.1
1996 10   123.7
1996 11   100.7
1996 12    99.2
1997 01    88.1
1997 02    94.1
1997 03   120.1
1997 04   137.2
1997 05   131.6
1997 06   133.6
1997 07   133.7
1997 08   126.0
1997 09   134.4
1997 10   135.5
1997 11   100.4
1997 12   106.4
1998 01    96.2
1998 02   107.4
1998 03   140.9
1998 04   146.3
1998 05   138.2
1998 06   153.4
1998 07   149.3
1998 08   144.7
1998 09   141.7
1998 10   149.8
1998 11   119.9
1998 12   124.5
1999 01   105.7
1999 02   114.7
1999 03   154.6
1999 04   151.8
1999 05   145.1
1999 06   169.3
1999 07   149.1
1999 08   151.9
1999 09   137.3
1999 10   137.6
1999 11   125.6
1999 12   120.9
2000 01   107.3
2000 02   121.8
2000 03   153.7
2000 04   138.9
2000 05   148.9
2000 06   155.1
2000 07   129.8
2000 08   146.8
2000 09   131.4
2000 10   134.8
2000 11   121.0
2000 12   102.9
2001 01   117.0
2001 02   114.3
2001 03   147.7
2001 04   148.6
2001 05   159.8
2001 06   153.9
2001 07   140.6
2001 08   151.4
2001 09   125.2
2001 10   140.2
2001 11   124.4
2001 12   113.6
2002 01   115.7
2002 02   122.5
2002 03   143.2
2002 04   156.0
2002 05   164.2
2002 06   158.0
2002 07   159.3
2002 08   153.7
2002 09   149.5
2002 10   162.9
2002 11   126.8
2002 12   135.8
2003 01   126.4
2003 02   128.5
2003 03   148.4
2003 04   167.6
2003 05   169.5
2003 06   175.8
2003 07   173.0
2003 08   169.9
2003 09   169.1
2003 10   182.8
2003 11   130.5
2003 12   147.9
2004 01   132.0
2004 02   137.1
2004 03   190.7
2004 04   192.5
2004 05   188.4
2004 06   197.1
2004 07   185.9
2004 08   185.2
2004 09   174.9
2004 10   174.5
2004 11   156.4
2004 12   155.2
2005 01   139.7
2005 02   149.4
2005 03   190.5
2005 04   193.2
2005 05   193.1
2005 06   211.9
2005 07   185.5
2005 08   208.0
2005 09   193.7
2005 10   176.0
2005 11   162.9
2005 12   151.3
2006 01   149.1
2006 02   152.0
2006 03   191.3
2006 04   164.9
2006 05   184.5
2006 06   180.2
2006 07   145.5
2006 08   158.8
2006 09   133.6
2006 10   131.9
2006 11   110.4
2006 12   113.1
