date           return        level 
19260130      0.022472       12.74
19260227     -0.043956       12.18
19260331     -0.059113       11.46
19260430      0.022688       11.72
19260528      0.007679       11.81
19260630      0.043184       12.32
19260731      0.045455       12.88
19260831      0.017081       13.10
19260930      0.022901       13.40
19261030     -0.031343       12.98
19261130      0.022342       13.27
19261231      0.016579       13.49
19270131     -0.020756       13.21
19270228      0.047691       13.84
19270331      0.006503       13.93
19270430      0.017229       14.17
19270531      0.052223       14.91
19270630     -0.009390       14.77
19270730      0.064997       15.73
19270831      0.044501       16.43
19270930      0.043214       17.14
19271031     -0.053092       16.23
19271130      0.067776       17.33
19271231      0.019042       17.66
19280131     -0.005096       17.57
19280229     -0.017644       17.26
19280331      0.108343       19.13
19280430      0.032410       19.75
19280531      0.012658       20.00
19280630     -0.040500       19.19
19280731      0.012507       19.43
19280831      0.074112       20.87
19280929      0.023958       21.37
19281031      0.014506       21.68
19281130      0.119926       24.28
19281231      0.002883       24.35
19290131      0.057084       25.74
19290228     -0.005828       25.59
19290328     -0.002345       25.53
19290430      0.016060       25.94
19290531     -0.042791       24.83
19290629      0.112364       27.62
19290731      0.045619       28.88
19290830      0.097992       31.71
19290930     -0.048880       30.16
19291031     -0.199271       24.15
19291127     -0.133747       20.92
19291231      0.025335       21.45
19300131      0.062471       22.79
19300228      0.021501       23.28
19300331      0.079897       25.14
19300430     -0.009547       24.90
19300529     -0.016466       24.49
19300630     -0.164557       20.46
19300731      0.036657       21.21
19300829      0.007544       21.37
19300930     -0.130089       18.59
19301031     -0.088757       16.94
19301129     -0.021842       16.57
19301231     -0.074231       15.34
19310131      0.048892       16.09
19310228      0.114357       17.93
19310331     -0.069158       16.69
19310430     -0.095866       15.09
19310529     -0.137177       13.02
19310630      0.139017       14.83
19310731     -0.074174       13.73
19310831      0.009468       13.86
19310930     -0.299423        9.71
19311031      0.084449       10.53
19311130     -0.097816        9.50
19311231     -0.145263        8.12
19320130     -0.028325        7.89
19320229      0.050697        8.29
19320331     -0.118215        7.31
19320430     -0.202462        5.83
19320531     -0.233276        4.47
19320630     -0.008949        4.43
19320730      0.376975        6.10
19320831      0.375410        8.39
19320930     -0.036949        8.08
19321031     -0.138614        6.96
19321130     -0.058908        6.55
19321231      0.051908        6.89
19330131      0.007257        6.94
19330228     -0.184438        5.66
19330331      0.033569        5.85
19330429      0.422222        8.32
19330531      0.158654        9.64
19330630      0.131743       10.91
19330731     -0.087993        9.95
19330831      0.114573       11.09
19330930     -0.113616        9.83
19331031     -0.088505        8.96
19331129      0.102679        9.88
19331230      0.022267       10.10
19340131      0.105941       11.17
19340228     -0.036705       10.76
19340331     -0.000929       10.75
19340430     -0.026977       10.46
19340531     -0.081262        9.61
19340630      0.020812        9.81
19340731     -0.115189        8.68
19340831      0.054147        9.15
19340929     -0.005464        9.10
19341031     -0.031868        8.81
19341130      0.082860        9.54
19341231     -0.004193        9.50
19350131     -0.042105        9.10
19350228     -0.039560        8.74
19350330     -0.030892        8.47
19350430      0.095632        9.28
19350531      0.032328        9.58
19350629      0.067850       10.23
19350731      0.083089       11.08
19350831      0.021661       11.32
19350930      0.023852       11.59
19351031      0.075065       12.46
19351130      0.039326       12.95
19351231      0.037066       13.43
19360131      0.065525       14.31
19360229      0.016771       14.55
19360331      0.025430       14.92
19360430     -0.077078       13.77
19360529      0.045752       14.40
19360630      0.030556       14.84
19360731      0.068059       15.85
19360831      0.008833       15.99
19360930      0.001251       16.01
19361031      0.074953       17.21
19361130      0.004067       17.28
19361231     -0.005787       17.18
19370130      0.037835       17.83
19370227      0.014582       18.09
19370331     -0.009397       17.92
19370430     -0.083147       16.43
19370528     -0.010347       16.26
19370630     -0.052891       15.40
19370731      0.102597       16.98
19370831     -0.055359       16.04
19370930     -0.142145       13.76
19371030     -0.101744       12.36
19371130     -0.101133       11.11
19371231     -0.050405       10.55
19380131      0.013270       10.69
19380228      0.060804       11.34
19380331     -0.250441        8.50
19380430      0.141176        9.70
19380531     -0.044330        9.27
19380630      0.247033       11.56
19380730      0.072664       12.40
19380831     -0.027419       12.06
19380930      0.014925       12.24
19381031      0.075980       13.17
19381130     -0.033409       12.73
19381231      0.037706       13.21
19390131     -0.068887       12.30
19390228      0.032520       12.70
19390331     -0.135433       10.98
19390429     -0.005464       10.92
19390531      0.062271       11.60
19390630     -0.063793       10.86
19390731      0.108656       12.04
19390831     -0.071429       11.18
19390930      0.164580       13.02
19391031     -0.014593       12.83
19391130     -0.049104       12.20
19391230      0.023770       12.49
19400131     -0.035228       12.05
19400229      0.006639       12.13
19400330      0.009893       12.25
19400430     -0.004898       12.19
19400531     -0.239541        9.27
19400629      0.076591        9.98
19400731      0.031062       10.29
19400831      0.026239       10.56
19400930      0.009470       10.66
19401031      0.039400       11.08
